count,learning_rate,beta,n_hidden_1,n_hidden_2,n_hidden_3,batch_size,epochs,tpr,fpr
0,0.01,0.01,25,24,23,16,1000,0.905829596412556,0.06198437203283139
1,0.01,0.01,25,24,23,32,1000,0.9013452914798207,0.06078871297852737
2,0.01,0.01,25,24,23,64,1000,0.905829596412556,0.05945942144168349
3,0.01,0.01,25,24,23,128,1000,0.8968609865470852,0.05850289419824027
4,0.01,0.01,25,24,23,256,1000,0.8923766816143498,0.05810903003917542
5,0.01,0.01,25,24,20,16,1000,0.905829596412556,0.06198437203283139
6,0.01,0.01,25,24,20,32,1000,0.9013452914798207,0.06078871297852737
7,0.01,0.01,25,24,20,64,1000,0.905829596412556,0.05945942144168349
8,0.01,0.01,25,24,20,128,1000,0.8968609865470852,0.05850289419824027
9,0.01,0.01,25,24,20,256,1000,0.8923766816143498,0.05810903003917542
10,0.01,0.01,25,24,17,16,1000,0.905829596412556,0.06198437203283139
11,0.01,0.01,25,24,17,32,1000,0.9013452914798207,0.06078871297852737
12,0.01,0.01,25,24,17,64,1000,0.905829596412556,0.05945942144168349
13,0.01,0.01,25,24,17,128,1000,0.8968609865470852,0.05850289419824027
14,0.01,0.01,25,24,17,256,1000,0.8923766816143498,0.05805276373073758
15,0.01,0.01,25,24,15,16,1000,0.905829596412556,0.06198437203283139
16,0.01,0.01,25,24,15,32,1000,0.9013452914798207,0.06078871297852737
17,0.01,0.01,25,24,15,64,1000,0.905829596412556,0.05945942144168349
18,0.01,0.01,25,24,15,128,1000,0.8968609865470852,0.05850289419824027
19,0.01,0.01,25,24,15,256,1000,0.8923766816143498,0.05810903003917542
20,0.01,0.01,25,24,13,16,1000,0.905829596412556,0.06198437203283139
21,0.01,0.01,25,24,13,32,1000,0.9013452914798207,0.06078871297852737
22,0.01,0.01,25,24,13,64,1000,0.905829596412556,0.05945942144168349
23,0.01,0.01,25,24,13,128,1000,0.8968609865470852,0.05850289419824027
24,0.01,0.01,25,24,13,256,1000,0.8923766816143498,0.05810903003917542
25,0.01,0.01,25,24,10,16,1000,0.905829596412556,0.06198437203283139
26,0.01,0.01,25,24,10,32,1000,0.9013452914798207,0.06078871297852737
27,0.01,0.01,25,24,10,64,1000,0.905829596412556,0.05945942144168349
28,0.01,0.01,25,24,10,128,1000,0.8968609865470852,0.05850289419824027
29,0.01,0.01,25,24,10,256,1000,0.8923766816143498,0.05805276373073758
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
